partition,index,nodegr,black,hisp,age_20s,age_30s,age_40s,age_50s,educ,married,u74,u75,Treatment,Outcome,Propensity,Proba_if_Treated,Proba_if_Untreated,CATE,Recommendation
train,17,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.0271789569782246e-01,5.6789040565490723e-01,6.0445088148117065e-01,-3.6560475826263428e-02,0.0000000000000000e+00
train,18,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,3.9768251048190489e-01,7.1397948265075684e-01,5.9681493043899536e-01,1.1716455221176147e-01,1.0000000000000000e+00
train,19,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.9768251048190489e-01,7.1397948265075684e-01,5.9681493043899536e-01,1.1716455221176147e-01,1.0000000000000000e+00
train,20,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,8.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,4.1284945273351376e-01,3.6376139521598816e-01,8.0324614048004150e-01,-4.3948474526405334e-01,0.0000000000000000e+00
train,21,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,1,0,0,1.2000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7611574292244407e-01,8.0487191677093506e-01,2.2520321607589722e-01,5.7966870069503784e-01,1.0000000000000000e+00
train,22,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,9.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,5.1522960088984870e-01,9.2270576953887939e-01,7.8079831600189209e-01,1.4190745353698730e-01,1.0000000000000000e+00
train,23,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.2035734374304751e-01,6.9610530138015747e-01,6.2967139482498169e-01,6.6433906555175781e-02,0.0000000000000000e+00
train,24,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1,0,0,0,1.2000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.3510647627125815e-01,7.6723068952560425e-01,9.8935306072235107e-01,-2.2212237119674683e-01,0.0000000000000000e+00
train,25,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.2000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,6.0545283669937167e-01,6.5580379962921143e-01,8.8154357671737671e-01,-2.2573977708816528e-01,0.0000000000000000e+00
train,26,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,3.2435434213366565e-01,5.6444448232650757e-01,6.7772483825683594e-01,-1.1328035593032837e-01,0.0000000000000000e+00
train,27,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,3.9768251048190489e-01,7.1397948265075684e-01,5.9681493043899536e-01,1.1716455221176147e-01,1.0000000000000000e+00
train,28,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.2035734374304751e-01,6.9610530138015747e-01,6.2967139482498169e-01,6.6433906555175781e-02,0.0000000000000000e+00
train,29,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0,1,0,0,9.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.9747687606382017e-01,9.9814152717590332e-01,2.6391819119453430e-01,7.3422336578369141e-01,1.0000000000000000e+00
train,30,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.4366408385136444e-01,8.8432061672210693e-01,5.0181412696838379e-01,3.8250648975372314e-01,1.0000000000000000e+00
train,31,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,3.9768251048190489e-01,7.1397948265075684e-01,5.9681493043899536e-01,1.1716455221176147e-01,1.0000000000000000e+00
train,32,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,3.4524470612585506e-01,7.4216401576995850e-01,8.2990854978561401e-01,-8.7744534015655518e-02,0.0000000000000000e+00
train,33,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,1,0,1.4000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,6.7263507112395438e-01,9.1082447767257690e-01,5.3279292583465576e-01,3.7803155183792114e-01,1.0000000000000000e+00
train,34,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,1,0,1.1000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.8730287116830027e-01,6.6702902317047119e-01,5.8558744192123413e-01,8.1441581249237061e-02,0.0000000000000000e+00
train,35,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.0927640504364262e-01,9.6250498294830322e-01,9.6273386478424072e-01,-2.2888183593750000e-04,0.0000000000000000e+00
train,36,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.0271789569782246e-01,5.6789040565490723e-01,6.0445088148117065e-01,-3.6560475826263428e-02,0.0000000000000000e+00
train,37,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,1,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,3.2435434213366565e-01,7.4653965234756470e-01,5.6379717588424683e-01,1.8274247646331787e-01,1.0000000000000000e+00
train,38,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,1,0,4.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,6.2238156696829816e-01,8.7933897972106934e-01,9.4412124156951904e-01,-6.4782261848449707e-02,0.0000000000000000e+00
train,39,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,7.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0226702140202817e-01,7.2509074211120605e-01,5.7197988033294678e-01,1.5311086177825928e-01,1.0000000000000000e+00
train,40,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,1,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.2435434213366565e-01,7.4653965234756470e-01,5.6379717588424683e-01,1.8274247646331787e-01,1.0000000000000000e+00
train,41,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,8.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.3361560748699054e-01,4.1973605751991272e-01,8.6351162195205688e-01,-4.4377556443214417e-01,0.0000000000000000e+00
train,42,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.2035734374304751e-01,6.9610530138015747e-01,6.2967139482498169e-01,6.6433906555175781e-02,0.0000000000000000e+00
train,43,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6094825529155389e-01,6.3115406036376953e-01,6.1079108715057373e-01,2.0362973213195801e-02,0.0000000000000000e+00
train,44,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.2000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9853125135459547e-01,7.5889474153518677e-01,4.5330956578254700e-01,3.0558517575263977e-01,1.0000000000000000e+00
train,45,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.4000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.8804478082677816e-01,9.2715293169021606e-01,6.8389463424682617e-01,2.4325829744338989e-01,1.0000000000000000e+00
train,46,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,1,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,5.9237787735769198e-01,5.2973496913909912e-01,9.1294354200363159e-01,-3.8320857286453247e-01,0.0000000000000000e+00
train,47,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.9768251048190489e-01,7.1397948265075684e-01,5.9681493043899536e-01,1.1716455221176147e-01,0.0000000000000000e+00
train,48,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.4051824477777259e-01,7.4237579107284546e-01,5.6702619791030884e-01,1.7534959316253662e-01,1.0000000000000000e+00
train,49,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.0271789569782246e-01,5.6789040565490723e-01,6.0445088148117065e-01,-3.6560475826263428e-02,0.0000000000000000e+00
train,50,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,2.5285601509322453e-01,9.8361569643020630e-01,9.1920524835586548e-01,6.4410448074340820e-02,0.0000000000000000e+00
train,51,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,1,0,0,1.1000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.9782861984205309e-01,9.5570552349090576e-01,7.3906421661376953e-01,2.1664130687713623e-01,1.0000000000000000e+00
train,52,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,9.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.8629559411899589e-01,9.9736040830612183e-01,6.1445713043212891e-01,3.8290327787399292e-01,1.0000000000000000e+00
train,53,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.9111967278931183e-01,5.5624955892562866e-01,8.2312351465225220e-01,-2.6687395572662354e-01,0.0000000000000000e+00
train,54,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,8.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,3.3361560748699054e-01,4.1973605751991272e-01,8.6351162195205688e-01,-4.4377556443214417e-01,0.0000000000000000e+00
train,55,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.9768251048190489e-01,7.1397948265075684e-01,5.9681493043899536e-01,1.1716455221176147e-01,0.0000000000000000e+00
train,56,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,1,0,0,1.2000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.1446098379762336e-01,6.5594965219497681e-01,7.5523096323013306e-01,-9.9281311035156250e-02,0.0000000000000000e+00
train,57,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,3.8133444836002045e-01,7.7923041582107544e-01,4.3644329905509949e-01,3.4278711676597595e-01,1.0000000000000000e+00
train,58,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,7.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.1794362316714007e-01,5.4794800281524658e-01,6.2459295988082886e-01,-7.6644957065582275e-02,0.0000000000000000e+00
train,59,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,5.0474542545474654e-01,7.1629160642623901e-01,5.9531861543655396e-01,1.2097299098968506e-01,1.0000000000000000e+00
train,60,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.2547702292521966e-01,6.8175941705703735e-01,8.2064855098724365e-01,-1.3888913393020630e-01,0.0000000000000000e+00
train,61,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,3.8133444836002045e-01,9.8759764432907104e-01,6.3699370622634888e-01,3.5060393810272217e-01,1.0000000000000000e+00
train,62,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.0000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8653717374670680e-01,7.2880709171295166e-01,5.4385071992874146e-01,1.8495637178421021e-01,1.0000000000000000e+00
train,63,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,8.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1284945273351376e-01,3.6376139521598816e-01,8.0324614048004150e-01,-4.3948474526405334e-01,0.0000000000000000e+00
train,64,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.2000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,5.6071618739577656e-01,8.3326607942581177e-01,3.2992473244667053e-01,5.0334131717681885e-01,1.0000000000000000e+00
train,65,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1977419831855181e-01,6.9739371538162231e-01,5.9536534547805786e-01,1.0202836990356445e-01,0.0000000000000000e+00
train,66,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,1.2000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1446098379762336e-01,7.4397957324981689e-01,4.5181792974472046e-01,2.9216164350509644e-01,1.0000000000000000e+00
train,67,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2035734374304751e-01,6.9610530138015747e-01,6.2967139482498169e-01,6.6433906555175781e-02,0.0000000000000000e+00
train,68,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,1,0,0,1.2000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7611574292244407e-01,9.8764413595199585e-01,2.4744339287281036e-01,7.4020075798034668e-01,1.0000000000000000e+00
train,69,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,1,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.2435434213366565e-01,7.4653965234756470e-01,5.6379717588424683e-01,1.8274247646331787e-01,1.0000000000000000e+00
train,70,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.2000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,6.0545283669937167e-01,6.5580379962921143e-01,8.8154357671737671e-01,-2.2573977708816528e-01,0.0000000000000000e+00
train,71,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.9768251048190489e-01,7.1397948265075684e-01,5.9681493043899536e-01,1.1716455221176147e-01,0.0000000000000000e+00
train,72,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.4051824477777259e-01,7.4237579107284546e-01,5.6702619791030884e-01,1.7534959316253662e-01,1.0000000000000000e+00
train,73,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.4524470612585506e-01,7.4216401576995850e-01,8.2990854978561401e-01,-8.7744534015655518e-02,0.0000000000000000e+00
train,74,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,1,0,0,9.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,3.2896836156794690e-01,9.4155824184417725e-01,2.8681495785713196e-01,6.5474331378936768e-01,1.0000000000000000e+00
train,75,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,5.2197310716758660e-01,9.0820151567459106e-01,9.9011456966400146e-01,-8.1913053989410400e-02,0.0000000000000000e+00
